gemeente|data|titel|klasse
58c16d1dbb59056809b91917|Eerste termijn college, tweede termijn raad, tweede termijn college.    Volgorde fracties conform loting:  1. D66  2. LHN  3. Zoetermeer Vooruit  4. CU-SGP  5. PvdA  6. CDA  7. GroenLinks  8. Zó! Zoetermeer  9. VVD  10. SP    |11: Tweede tussenbericht 2016 & Programmabegroting 2017-2020|Agendapunt
gemeente-den-helder-den-helder-nh|De Rekenkamercommissie Den Helder heeft onderzoek uitgevoerd naar de opvolging van aanbevelingen van het onderzoek naar de HVC uit 2014. Uit het onderzoek, dat gezamenlijk met meerdere gemeenten is uitgevoerd, blijkt dat de aanbevelingen niet of nauwelijks door de colleges zijn uitgevoerd. Het presidium van de gemeenteraad stelt thans - op aangeven van de Rekenkamercommissie - voor het college van burgemeester en wethouders op te dragen een concreet plan van aanpak op te stellen en deze ter kennisname van de raad te brengen. De commissie dient de raad te adviseren over het voorstel.|5. Voorstel over de opvolging van aanbevelingen van het onderzoek naar HVC.|Agendapunt
58c16d1dbb59056809b91917|Spreekrecht   - Mevrouw G. van Haaster over de lichtreclame van het Beren restaurant.   - Dhr. E. Tan over het zwembad en het spreekrecht.   - Dhr. J. den Dulk over verhoging inkomsten maaiveld parkeren.|2: Spreekrecht|Agendapunt
commissie-stad|Naar aanleiding van de gesignaleerde onvrede onder bewoners en omwonenden van het gebied Voorweg-Noord over het gevolgde proces bij de voorbereiding van het bestemmingsplan voor dit gebied heeft het presidium voorgesteld een bijeenkomst te organiseren, waarbij de bewoners hun mening kunnen geven over het proces tot nu toe en de aanpassingen die het college inmiddels heeft aangebracht.   Het doel van de bijeenkomst is om a. te leren van evt. fouten in het eerdere samenspraaktraject en b. na te gaan of de voorgestelde wijzingen op steun van de bewoners kunnen rekenen.|I: Bijeenkomst bewoners Voorweg |Agendapunt
gemeente-den-helder-den-helder-nh|1.  Opening en mededelingen   2.  Spreekrecht burgers   3.  Vaststelling agenda   4.  Voorstel tot het vaststellen van het beleidskader cultureel erfgoed 'Oog voor het verleden, visie op de toekomst'en de Erfgoedverordening gemeente Den Helder 2017.  Het beleidskader vormt het kader voor de gemeentelijke inzet op behoud en ontwikkeling van het erfgoed. In het kader wordt eerst een korte geschiedenis beschreven, daarna worden de ijkpunten van het cultureel erfgoed benoemd. Vervolgens wordt ingegaan op wat de gemeente wil met haar cultureel erfgoed, hoe ze dat wil bereiken en de rol van de gemeente en vrijwilligers. De Erfgoedverordening vormt het wettelijk kader voor bescherming. De commissie dient de raad te adviseren over het voorstel. 5.  Voorstel tot het vaststellen van het bestemmingsplan Willem Alexanderhof, uitbreiding fase 4.1 2017.  De wijk Willem Alexanderhof is nog in ontwikkeling. In het bestemmingsplan Julianadorp Oost 2011 zijn zes uitwerkingsgebieden opgenomen voor grond die na het vaststellen van het bestemmingsplan nader ingevuld worden. Het thans voorliggende bestemmingsplan voorziet in het ontwikkelen van de noordoost zijde van Willem-Alexanderhof en geeft invulling aan een tweetal van de eerder genoemde uitwerkingsgebieden. Het voorziet in het planologisch-juridisch kader voor de ontwikkeling van maximaal 62 grondgebonden woningen aan de noordzijde van de wijk. De commissie dient de raad te adviseren over het voorstel. 6.  Voorstel tot het vaststellen van het beleidsplan 'Ruimte voor water, gezamenlijk gemeentelijk rioleringsplan Noordkop 2018-2022.  Gemeenten zijn verplicht de zorgtaken voor afval-, hemel- en grondwater alsmede de onderbouwing van het tarief voor rioolheffing vast te leggen. Het voorliggende beleidsplan voorziet hierin. In het plan wordt aangegeven welke richting de gemeente op wil in de planperiode 2018-2022 en wordt een visie gegeven op de verdere toekomst. Door de vervangingsinvesteringen te activeren, kunnen de gelden in de rioolvoorziening worden benut voor de dekking van investeringen voor de zorgplichten hemel- en grondwater. Hierdoor kunnen de financiële consequenties voor de inwoners en bedrijven beperkt blijven. De commissie dient de raad te adviseren over het voorstel. 7.  Sluiting  |Verslag 7. Sluiting|Verslag
58c16d1dbb59056809b91917|Vervoersknoop Bleizo (2014-000772) (oordeelsvormend) (50 minuten)     Op 16 juni 2014 heeft de Staatssecretaris van Infrastructuur en Milieu op basis van de Bedieningsovereenkomst station Bleizo besloten over te gaan tot realisatie van de Vervoersknoop Bleizo. Deze bedieningsovereenkomst is aangegaan onder de opschortende voorwaarde van instemming door de raden van Zoetermeer en Lansingerland.    Om uitwerking te geven aan het realisatiebesluit is vervolgens een Realisatieovereenkomst Vervoersknoop Bleizo opgesteld. Zoetermeer is middels twee verschillende rollen bij deze realisatieovereenkomst betrokken:  1. Via de Gemeenschappelijke Regeling Bleizo (GRB) en het Stadsgewest Haaglanden (SGH) als opdrachtgever van de Vervoersknoop Bleizo.  2. Als opdrachtnemer van GRB en SGH om de Vervoersknoop Bleizo voor hun rekening en risico te realiseren.    Vanuit de eerste rol dient de gemeente Zoetermeer de Bedieningsovereenkomst en de Realisatieovereenkomst te bekrachtigen. Daarnaast vraagt GRB een garantstelling van maximaal € 9,5 mln van de gemeente Zoetermeer ter dekking van haar bijdrage aan de Vervoersknoop Bleizo.     Vanuit de tweede rol dient de gemeente Zoetermeer in te stemmen met de Realisatieovereenkomst Vervoersknoop Bleizo, waarmee gemeente Zoetermeer zich verplicht om de Vervoersknoop Bleizo in opdracht en voor rekening en risico van SGH en GRB te realiseren. Hiervoor is een uitvoeringskrediet van € 70,81 miljoen benodigd voor de voorbereiding en uitvoering. Dit uitvoeringskrediet wordt volledig gedekt vanuit bijdragen van GRB en SGH.    De raad is hiertoe bevoegd vanuit zijn budgettaire en kaderstellende rol. Aard van deze bespreking is oordeelsvormend: uitwisseling van inhoudelijke argumenten en daarop doorvragen om tot een goede weging te kunnen komen van de voorstellen.  Afhankelijk van de resultaat van deze bespreking wordt een afspraak gemaakt voor het vervolg; het streven is de besluitvorming te laten plaatsvinden in de raadsvergadering van 2 februari.|I: 20:40-21:30 : Vervoersknoop Bleizo (2014-000772) (oordeelsvormend) / Raadzaal|Agendapunt
gemeente-den-helder-den-helder-nh|1.  De vergadering is geannuleerd wegens een gebrek aan voldoende agendapunten.  |Verslag Raadscommissie Stadsontwikkeling en -Beheer 06 november 2017 19:30:00|Verslag
commissie-samenleving|Uitwerking moties en Plan van aanpak Stadhuis (2014-000892) (beeld- en oordeelsvormend) (50 minuten)     In de commissie Samenleving van 17 november 2014 en de raad van 1 december is het voorstel over de verkleining, renovatie en verduurzaming van het stadhuis behandeld. Tijdens de raadsbehandeling zijn vier moties aangenomen en is toegezegd dat er een plan van aanpak ter instemming aan de raad zou worden aangeboden.  Dit plan van aanpak ligt nu ter bespreking voor.     In het voorstel gaat het college in op de aanpak van de moties en vraagt het college de raad in te stemmen met het plan van aanpak “Het stadhuis vernieuwd”.    De bespreking vindt plaats in twee blokken.  In blok 1 is de aard van de bespreking beeldvormend; verkennen en afbakenen van het vraagstuk, inventariseren van knelpunten en keuzes, verhelderen van eventuele technische onduidelijkheden.  In blok 2 vindt een eerste oordeelsvormende ronde plaats.    Aan het einde van het tweede blok wordt een afspraak gemaakt voor het vervolgtraject.|3: 21:40-22:30 II. Uitwerking moties en Plan van aanpak Stadhuis (2014-000892) (beeld- en oordeelsvormend) |Agendapunt
gemeente-den-helder-den-helder-nh|1.  Opening en mededelingen   2.  Spreekrecht burgers   3.  Vaststelling agenda   4.  Voorstel tot het vaststellen van het beleidskader cultureel erfgoed 'Oog voor het verleden, visie op de toekomst'en de Erfgoedverordening gemeente Den Helder 2017.  Het beleidskader vormt het kader voor de gemeentelijke inzet op behoud en ontwikkeling van het erfgoed. In het kader wordt eerst een korte geschiedenis beschreven, daarna worden de ijkpunten van het cultureel erfgoed benoemd. Vervolgens wordt ingegaan op wat de gemeente wil met haar cultureel erfgoed, hoe ze dat wil bereiken en de rol van de gemeente en vrijwilligers. De Erfgoedverordening vormt het wettelijk kader voor bescherming. De commissie dient de raad te adviseren over het voorstel. 5.  Voorstel tot het vaststellen van het bestemmingsplan Willem Alexanderhof, uitbreiding fase 4.1 2017.  De wijk Willem Alexanderhof is nog in ontwikkeling. In het bestemmingsplan Julianadorp Oost 2011 zijn zes uitwerkingsgebieden opgenomen voor grond die na het vaststellen van het bestemmingsplan nader ingevuld worden. Het thans voorliggende bestemmingsplan voorziet in het ontwikkelen van de noordoost zijde van Willem-Alexanderhof en geeft invulling aan een tweetal van de eerder genoemde uitwerkingsgebieden. Het voorziet in het planologisch-juridisch kader voor de ontwikkeling van maximaal 62 grondgebonden woningen aan de noordzijde van de wijk. De commissie dient de raad te adviseren over het voorstel. 6.  Voorstel tot het vaststellen van het beleidsplan 'Ruimte voor water, gezamenlijk gemeentelijk rioleringsplan Noordkop 2018-2022.  Gemeenten zijn verplicht de zorgtaken voor afval-, hemel- en grondwater alsmede de onderbouwing van het tarief voor rioolheffing vast te leggen. Het voorliggende beleidsplan voorziet hierin. In het plan wordt aangegeven welke richting de gemeente op wil in de planperiode 2018-2022 en wordt een visie gegeven op de verdere toekomst. Door de vervangingsinvesteringen te activeren, kunnen de gelden in de rioolvoorziening worden benut voor de dekking van investeringen voor de zorgplichten hemel- en grondwater. Hierdoor kunnen de financiële consequenties voor de inwoners en bedrijven beperkt blijven. De commissie dient de raad te adviseren over het voorstel. 7.  Sluiting  |Verslag 2. Spreekrecht burgers|Verslag
stedelijke-commissie|Voorafgaand (parallel, zie overzicht):<br>19.00 tot 20.00 uur <br>B&W kamer: Werkgroep Duurzaamheid<br>Commissiekamer (b.g.): Werkgroep Meerjarenagenda Werk|enschede|Agenda
