gemeente|data|titel|klasse
gemeente-teylingen-teylingen|Zeer recent zijn de prestatieafspraken ondertekend met de woonstichtingen voor de komende jaren met daarin de gezamenlijke ambities op gebied van wonen. Vandaag kwam het nieuws dat Woonstichting de Vooruitgang onder toezicht is geplaatst.|Consequenties onder toezicht plaatsing van woonstichting De Vooruitgang voor prestatieafspraken (Trilokaal)|Raadsvragen
gemeente-teylingen-teylingen|De minister van Infrastructuur en Milieu heeft op 6 februari 2015 een onderzoek in  ontvangst genomen van de Stichting Wetenschappelijk Onderzoek Verkeersveiligheid  (SWOV). Nederland lijkt de doelstelling van het aantal verkeersslachtoffers en gewonden in  2020 niet te halen. Ook de gemeente Teylingen is de afgelopen jaren opgeschrikt door  dodelijke ongevallen en ongevallen met ernstige gewonden.|Verkeersveiligheid|Raadsvragen
gemeente-teylingen-teylingen|De Partij van de Arbeid (PvdA) heeft op 29 januari 2015 schriftelijke vragen gesteld over  het beoogde pick-up-point nabij de A44. De beantwoording van de vragen liet volgens de  PvdA op bepaalde punten nogal te wensen over. Via onderstaande vragen proberen wij  nogmaals meer duidelijkheid te verkrijgen over de motivatie om in principe voor de  komst van het pick-up-point nabij de A44 te zijn.|Pick Up point|Raadsvragen
commissie-welzijn|[Doel: besluitvormend]  De CDA fractie is voornemens deze motie in te dienen.  Uit de cijfers in de begroting 2018 blijkt dat in Teylingen meer jongeren een beroep doen op jeugdzorg dan gemiddeld in Nederland.  Met het oog op het nemen van gerichte en effectieve maatregelen, met behoud van toegankelijke en kwalitatief goede jeugdzorg, wil de fractie laten onderzoeken door het college hoe dit komt.  |11: Motie onderzoek jeugdzorg|Agendapunt
commissie-welzijn|Op de actielijst staan de lopende actiepunten weergegeven met de stand van zaken vanuit het college.    Op de langetermijnagenda (LTA) is de planning van de raadsstukken te zien. De onderwerpen met 1 of 2 sterren worden in de commissie geagendeerd als hamerstuk, tenzij een fractie na afloop van de voorafgaande fractievergadering aangeeft dit als bespreekstuk te willen agenderen (graag met motivering en aanduiding van de bespreekpunten).|14: Actielijst en langetermijnagenda|Agendapunt
commissie-welzijn|[Doel: opiniërend]  De CDA fractie heeft gevraagd het Concept-Rapport “Onderzoek integrale toegang Duin en Bollenstreek” te bespreken in de commissie welzijn. Het onderzoek is in Bollen 5 verband (transformatieagenda) uitgevoerd. Eind september heeft een bijeenkomst met partners uit het maatschappelijk middenveld plaatsgevonden om hun reactie op de adviezen uit het rapport te krijgen. Op basis van deze informatie gaan de wethouders Bollen 5 hun visie bepalen. De verwachting is dat dit rapport in het eerste kwartaal van 2018 aan de raad aangeboden kan worden, dan is het participatietraject afgerond en ligt er een plan van aanpak wat te doen met de adviezen uit het rapport. Hierop vooruitlopend wil de CDA fractie graag de wethouder input meegeven vanuit de commissie welzijn van Teylingen.|12: Concept-Rapport Onderzoek integrale toegang Duin en Bollenstreek|Agendapunt
commissie-welzijn|Er zijn geen hamerstukken.|5: H A M E R S T U K K E N|Agendapunt
commissie-welzijn|Op de actielijst staan de lopende actiepunten weergegeven met de stand van zaken vanuit het college.    Op de langetermijnagenda (LTA) is de planning van de raadsstukken te zien. De onderwerpen met 1 of 2 sterren worden in de commissie geagendeerd als hamerstuk, tenzij een fractie na afloop van de voorafgaande fractievergadering aangeeft dit als bespreekstuk te willen agenderen (graag met motivering en aanduiding van de bespreekpunten).|14: Actielijst en langetermijnagenda|Agendapunt
commissie-welzijn|[Doel: opiniërend]  De CDA fractie heeft gevraagd het Concept-Rapport “Onderzoek integrale toegang Duin en Bollenstreek” te bespreken in de commissie welzijn. Het onderzoek is in Bollen 5 verband (transformatieagenda) uitgevoerd. Eind september heeft een bijeenkomst met partners uit het maatschappelijk middenveld plaatsgevonden om hun reactie op de adviezen uit het rapport te krijgen. Op basis van deze informatie gaan de wethouders Bollen 5 hun visie bepalen. De verwachting is dat dit rapport in het eerste kwartaal van 2018 aan de raad aangeboden kan worden, dan is het participatietraject afgerond en ligt er een plan van aanpak wat te doen met de adviezen uit het rapport. Hierop vooruitlopend wil de CDA fractie graag de wethouder input meegeven vanuit de commissie welzijn van Teylingen.|12: Concept-Rapport Onderzoek integrale toegang Duin en Bollenstreek|Agendapunt
commissie-welzijn|Er zijn geen hamerstukken.|5: H A M E R S T U K K E N|Agendapunt
commissie-welzijn|Er zijn geen hamerstukken.|5: H A M E R S T U K K E N|Agendapunt
commissie-bft|- het verzoek is ontvangen om het agendapunt Raadsvoorstel Aanwijzen huis der gemeente aan de agenda toe te voegen.|2: Vaststellen agenda|Agendapunt
commissie-welzijn|[Doel: besluitvormend]  In mei 2016 zijn de pilots sociaal team Voorhout en sociaal team Warmond van start gegaan. Na de tussentijdse evaluatie in oktober 2016, zijn de pilots met een half jaar verlengd tot eind 2017. Gedurende de pilot hebben de sociale teams -naast de al bestaande toegangspoorten zoals het Zorgloket- gefunctioneerd als een van de toegangspoorten voor complexe vragen op het gebied van Wonen, Zorg en Welzijn. Nu het einde van de pilots in zicht komt, is geëvalueerd of de sociale teams invulling geven aan de beoogde doelen. Voorgesteld wordt om pilots sociale teams in Warmond en Voorhout om te zetten in een permanente structuur en het zorgloket in Sassenheim om te vormen naar een sociaal team om zo alle inwoners van Teylingen een duidelijke integrale toegang te bieden voor vragen op het gebied van Wonen, Zorg en Welzijn. |9: Sociale teams|Agendapunt
commissie-bft|- het verzoek is ontvangen om het agendapunt Raadsvoorstel Aanwijzen huis der gemeente aan de agenda toe te voegen.|2: Vaststellen agenda|Agendapunt
commissie-welzijn|[Doel: besluitvormend]  In mei 2016 zijn de pilots sociaal team Voorhout en sociaal team Warmond van start gegaan. Na de tussentijdse evaluatie in oktober 2016, zijn de pilots met een half jaar verlengd tot eind 2017. Gedurende de pilot hebben de sociale teams -naast de al bestaande toegangspoorten zoals het Zorgloket- gefunctioneerd als een van de toegangspoorten voor complexe vragen op het gebied van Wonen, Zorg en Welzijn. Nu het einde van de pilots in zicht komt, is geëvalueerd of de sociale teams invulling geven aan de beoogde doelen. Voorgesteld wordt om pilots sociale teams in Warmond en Voorhout om te zetten in een permanente structuur en het zorgloket in Sassenheim om te vormen naar een sociaal team om zo alle inwoners van Teylingen een duidelijke integrale toegang te bieden voor vragen op het gebied van Wonen, Zorg en Welzijn. |9: Sociale teams|Agendapunt
commissie-welzijn|[Doel: besluitvormend]  In mei 2016 zijn de pilots sociaal team Voorhout en sociaal team Warmond van start gegaan. Na de tussentijdse evaluatie in oktober 2016, zijn de pilots met een half jaar verlengd tot eind 2017. Gedurende de pilot hebben de sociale teams -naast de al bestaande toegangspoorten zoals het Zorgloket- gefunctioneerd als een van de toegangspoorten voor complexe vragen op het gebied van Wonen, Zorg en Welzijn. Nu het einde van de pilots in zicht komt, is geëvalueerd of de sociale teams invulling geven aan de beoogde doelen. Voorgesteld wordt om pilots sociale teams in Warmond en Voorhout om te zetten in een permanente structuur en het zorgloket in Sassenheim om te vormen naar een sociaal team om zo alle inwoners van Teylingen een duidelijke integrale toegang te bieden voor vragen op het gebied van Wonen, Zorg en Welzijn. |9: Sociale teams|Agendapunt
commissie-ruimte|Deze vergadering bekijkt u live of achteraf op de website: www.teylingen.tv|None: Teylingen.tv|Agendapunt
commissie-welzijn|Stukken volgen.  [Doel: besluitvormend]  Uit de halfjaarcijfers blijken de uitgaven op het programma Participatie en Zorg fors hoger dan verwacht. Voor Teylingen is het tekort op het Programma Participatie €421.000 en voor het Programma Zorg € 521.000. Zowel bij het programma Inkomen als Zorg is er sprake van een zogenaamde 'open-einderegelingen'. Inwoners die recht hebben op een voorziening, dienen deze ook te ontvangen. De gemeente is dan ook verplicht om de bijbehorende financiële middelen ter beschikking te stellen. Het voorstel is daarom een positieve zienswijze in te dienen.   Daarnaast heeft de ISD Bollenstreek een voorstel ontwikkeld om eventueel in aanmerking te komen voor de Vangnetregeling. Gemeenten zijn zelf verantwoordelijk voor eventuele tekorten die ontstaan door uitgaven uit het budget van de Participatiewet. Indien het tekort hoog genoeg is, kan een gemeente onder voorwaarden in aanmerking komen voor een zogenaamde vangnetuitkering. Om voor de vangnetregeling 2017 in aanmerking te komen moet de gemeenteraad maatregelen treffen om tot tekortreductie te komen. De ISD Bollenstreek heeft hier een voorstel toe gedaan.|10: Begrotingswijziging ISD Bollenstreek 2017-III |Agendapunt
commissie-welzijn|Stukken volgen.  [Doel: besluitvormend]  Uit de halfjaarcijfers blijken de uitgaven op het programma Participatie en Zorg fors hoger dan verwacht. Voor Teylingen is het tekort op het Programma Participatie €421.000 en voor het Programma Zorg € 521.000. Zowel bij het programma Inkomen als Zorg is er sprake van een zogenaamde 'open-einderegelingen'. Inwoners die recht hebben op een voorziening, dienen deze ook te ontvangen. De gemeente is dan ook verplicht om de bijbehorende financiële middelen ter beschikking te stellen. Het voorstel is daarom een positieve zienswijze in te dienen.   Daarnaast heeft de ISD Bollenstreek een voorstel ontwikkeld om eventueel in aanmerking te komen voor de Vangnetregeling. Gemeenten zijn zelf verantwoordelijk voor eventuele tekorten die ontstaan door uitgaven uit het budget van de Participatiewet. Indien het tekort hoog genoeg is, kan een gemeente onder voorwaarden in aanmerking komen voor een zogenaamde vangnetuitkering. Om voor de vangnetregeling 2017 in aanmerking te komen moet de gemeenteraad maatregelen treffen om tot tekortreductie te komen. De ISD Bollenstreek heeft hier een voorstel toe gedaan.|10: Begrotingswijziging ISD Bollenstreek 2017-III |Agendapunt
commissie-bft|[Besluitvormend] Het aanwijzen van trouwlocaties (“huis der gemeente”) is een bevoegdheid van de gemeenteraad. De gemeenteraad kan deze bevoegdheid delegeren aan het college van burgemeester en wethouders, zodat deze handeling in het vervolg op een rechtmatige, praktische en efficiënte manier op uitvoeringsniveau kan worden uitgevoerd. Naar nu blijkt heeft de raad deze bevoegdheid in Teylingen nog niet aan het college gedelegeerd. Omdat er inmiddels meerdere vaste trouwlocaties en een eenmalige locatie zijn aangewezen door het college is het noodzakelijk deze alsnog rechtmatig aan te wijzen.|8: Delegatie aanwijzen huis der gemeente |Agendapunt
commissie-ruimte|De heer John van der Tol namens werkgroep Keurmerk Veilig Ondernemen Voorhout - Verkeerssituatie in en rond de Herenstraat in Voorhout  De heer Alfred Pop namens de  cultuurhistorische verenigingen in Teylingen over het Erfgoedbeleid van de gemeente (agendapunt 12)  De heer Van der Plas over Loosterweg 7 (agendapunt 15).|3: Spreekrecht inwoners|Agendapunt
commissie-ruimte|Bij de fractievergaderingen kunnen fracties aangeven als een hamerstuk een bespreekstuk moet worden. |8: HAMERSTUKKEN|Agendapunt
commissie-ruimte|De heer John van der Tol namens werkgroep Keurmerk Veilig Ondernemen Voorhout - Verkeerssituatie in en rond de Herenstraat in Voorhout  De heer Alfred Pop namens de  cultuurhistorische verenigingen in Teylingen over het Erfgoedbeleid van de gemeente (agendapunt 12)  De heer Van der Plas over Loosterweg 7 (agendapunt 15).|3: Spreekrecht inwoners|Agendapunt
commissie-ruimte|Bij de fractievergaderingen kunnen fracties aangeven als een hamerstuk een bespreekstuk moet worden. |8: HAMERSTUKKEN|Agendapunt
gemeente-teylingen-teylingen|Bij dit punt is vanuit de afdeling S&P Daniëlle Otsen aanwezig |5: Voorbereiding werkbezoek CdK|Agendapunt
gemeente-teylingen-teylingen|Is er behoefte om de verschillende mogelijkheden en onmogelijkheden rondom de (in)formatie naar een coalitie en een  raadsakkoord te verkennen?     Bijvoorbeeld door de griffie de opdracht te geven de best-practices te inventariseren. Maar ook om met de lijsttrekkers/onderhandelaars (de nummers 1 en 2 op de lijst?), nog voordat de verkiezingskoorts echt uitbreekt,  in januari/begin februari het gesprek aan te gaan en te verkennen hoe hier in vulling aan te geven en welke ideeën er leven?     Het is niet de bedoeling om tot (bindende) afspraken te komen maar dit moet gezien worden als een verkenning zodat de deelnemers aan de onderhandelingen kennis hebben van het proces, weten welke ideeen er leven bij de eigen andere fracties en kennis hebben van de mogelijkheden die er bestaan. Maar ook om de ambtelijke ondersteuning en wensen qua overdrachtsdocumenten etc te inventariseren.     Voorstel is om een dergelijke verkenning half/eind januari 2018 te organiseren.       |7: Gemeenteraadsverkiezing 2018. Behoefte aan verkenning best practices en (on)mogelijkheden (in)formatie naar een coalitie en een coalitie- en raadsakkoord?|Agendapunt
